Store,Dept,order,aic,cv_wmae_mean,cv_wmae_std,holdout_wmae,holdout_mae,holdout_rmse,n_missing_weeks
35,10,"(0, 1, 2)",1780.9005735225828,1971.8066545583797,361.82980715165746,2498.370005905945,2659.4095900228053,3014.561454863166,0
38,81,"(2, 1, 2)",1573.5365536301335,637.6241199125827,125.42393508328777,741.0352492577429,645.2089305974462,852.1444832438526,0
41,24,"(2, 1, 2)",1807.282544680666,1899.0183069348552,967.2690277242875,1109.5495791684903,1239.7113393630952,1646.5600429833532,0
24,26,"(2, 1, 2)",1814.2564276523715,2129.7462629221004,499.5269785665496,1270.974686964675,1444.2968819070056,1761.7145273186095,0
13,24,"(2, 1, 2)",1955.8764961747897,4115.438319079916,1747.8355487765875,2906.0518674175883,2428.5791184584064,3088.3088145530883,0
45,81,"(0, 1, 2)",1695.5183778644762,1234.2648726547166,408.47194460324954,1078.0426796649056,985.5933899426393,1111.066603439909,0
25,5,"(2, 1, 2)",2119.1809894115063,9006.408466933204,5728.178587899428,4747.164517406562,4869.149291160843,5250.967436273592,0
24,96,"(2, 1, 2)",1862.1280793128187,3973.6080920600216,1397.084710694396,4810.012975063632,4838.649472561521,6376.626186323323,0
45,91,"(2, 1, 2)",1706.318414464772,1526.5139887868515,614.5526752625647,1812.5273257576541,1725.1809861146216,2019.7124725769208,0
4,29,"(2, 1, 2)",1895.0429798027565,1979.74607108714,1800.1631758058772,1400.4082678564052,1161.8009624028193,1404.4066933302008,0
7,56,"(1, 1, 2)",1961.4157125064894,7099.649333886467,6651.8356772279185,6830.872727780202,7839.462596444465,13867.158301402655,0
15,4,"(0, 1, 2)",1671.0089024327574,1302.5421521737414,565.7948497703038,1416.6596483272658,1290.9705876265955,1644.8468739820692,0
28,24,"(2, 1, 2)",1913.258521457618,2882.1283847566824,128.41483517254358,2237.458924041181,2223.8629286392984,3241.6419051703347,0
2,29,"(1, 1, 2)",1827.7249883789284,1898.07572661786,1219.1743686774337,1431.0662434196565,1293.1412258949683,1450.5546661927517,0
20,26,"(0, 1, 2)",1908.3416587658082,3694.7312365661633,685.8884213437562,3399.5406182448637,3188.2839546834607,4210.811896881466,0
33,80,"(2, 1, 2)",1575.7861942265538,559.743710138565,95.91905986784624,1227.9408297470777,1217.6085199465624,1299.3390490139316,0
25,11,"(1, 1, 2)",1882.3484598438781,4207.540159634327,1048.39761385624,2306.5767415205664,2502.498024540679,3031.9705358281267,0
14,56,"(2, 1, 2)",1903.0478291680988,5034.223871561135,5772.67954874371,4755.808242625794,5421.008402881661,8100.8480313488335,0
10,97,"(0, 1, 2)",1460.5945367130537,389.56588675898246,137.9371896847981,315.7956012523582,250.87869481393776,313.3694260017762,0
12,24,"(2, 1, 2)",1969.7870038803082,3959.1774811561686,660.4252352290454,2733.110352721639,2838.7580343527757,4812.041543657076,0
21,32,"(2, 1, 2)",1938.9910145553322,2014.0080902369045,728.2791483356882,1557.0424457382146,1519.1061379950936,1911.4682058016338,0
22,32,"(2, 1, 2)",1904.0411074582723,1521.842636243342,836.8975275464948,1158.2055464753828,1197.9537542373353,1429.5458851043238,0
25,21,"(2, 1, 2)",1651.4114936316785,510.1316295539024,353.9130880011372,490.7725509551987,526.0970555318098,705.0734723803457,0
16,82,"(1, 1, 2)",1902.2562954839423,1790.1550560377298,867.0645455256301,1247.4213420275958,1274.5832382407268,1520.4448180894194,0
31,32,"(0, 1, 2)",1886.4203878899143,1793.7413323353278,570.0272597968807,1374.614117419502,1243.9698338132457,1815.7678181919555,0
31,16,"(1, 1, 2)",1845.2548863712748,1694.8410502312845,708.4675705392468,5754.187855826635,6127.366790850356,7469.533719666345,0
14,83,"(1, 1, 2)",1810.8115323994903,1713.855052732258,262.33642669585396,1924.4232584415151,1929.9526175712895,2284.078093141635,0
2,67,"(0, 1, 2)",1964.8207355821048,3547.8083231967903,1139.7912761181635,3816.2118056511104,3533.904483733388,6222.880731548682,0
26,55,"(2, 1, 2)",1987.441127580817,5853.498952359525,4870.3257972101155,4348.3089337835145,4273.48138012848,4605.889469003206,0
11,21,"(2, 1, 2)",1728.908927611171,1045.2646133247254,658.4539276257517,584.2457504732621,637.3120092817634,893.7311824781935,0
28,98,"(2, 1, 2)",1813.1346888826188,1953.0579544276643,891.5641455982607,1414.2005921775585,1470.662442332867,1701.0802385599802,0
